codigo_ibge,anomes_s,pab_qtd_fam_benef_i,pab_valor_pago_d,pab_valor_medio_d,pab_extraordinario_qtd_fam_i,pab_extraordinario_valor_pago_d,pab_extraordinario_valor_medio_d
150543,202302,5595,3406163.0,608.79,,,
150548,202302,9398,5753201.0,612.17,,,
150549,202302,1619,893231.0,551.72,,,
150550,202302,12071,7279371.0,603.05,,,
150553,202302,22075,1.319954E7,597.94,,,
150555,202302,1301,789788.0,607.06,,,
150560,202302,1481,897656.0,606.11,,,
150563,202302,1773,1055251.0,595.18,,,
150565,202302,3767,2323166.0,616.72,,,
150570,202302,7281,2857667.0,392.48,,,
150580,202302,9769,5668434.0,580.25,,,
150590,202302,7701,4325385.0,561.67,,,
150600,202302,10079,5479604.0,543.67,,,
150610,202302,2828,1726934.0,610.66,,,
150611,202302,2949,1806083.0,612.44,,,
150613,202302,8668,5242897.0,604.86,,,
150616,202302,2055,1232934.0,599.97,,,
150618,202302,4857,2943894.0,606.11,,,
150619,202302,5103,3103821.0,608.23,,,
150620,202302,5382,3221015.0,598.48,,,
150630,202302,6746,2953020.0,437.74,,,
150635,202302,4000,2422957.0,605.74,,,
150640,202302,2010,869198.0,432.44,,,
150650,202302,8136,4885178.0,600.44,,,
150655,202302,5218,3187649.0,610.89,,,
150658,202302,2435,1457536.0,598.58,,,
150660,202302,4061,2447027.0,602.57,,,
150670,202302,7443,4459196.0,599.11,,,
150680,202302,47896,2.8263181E7,590.09,,,
150690,202302,2106,1258399.0,597.53,,,
150700,202302,5602,3380432.0,603.43,,,
150710,202302,3163,1889904.0,597.5,,,
150715,202302,4297,2600954.0,605.3,,,
150720,202302,8232,5067664.0,615.61,,,
150730,202302,10702,6531215.0,610.28,,,
150740,202302,3106,1866750.0,601.01,,,
150745,202302,4243,2521864.0,594.36,,,
150746,202302,1521,937792.0,616.56,,,
150747,202302,4457,2696528.0,605.01,,,
150750,202302,2677,1610954.0,601.78,,,
150760,202302,9310,5627536.0,604.46,,,
150770,202302,7071,2468050.0,349.04,,,
150775,202302,856,518185.0,605.36,,,
150780,202302,4635,2585440.0,557.81,,,
150790,202302,4264,1868857.0,438.29,,,
150795,202302,13039,7823419.0,600.0,,,
150796,202302,3514,2129337.0,605.96,,,
150797,202302,3793,2198728.0,579.68,,,
150800,202302,11757,7152624.0,608.37,,,
150803,202302,8543,5198648.0,608.53,,,
150805,202302,2895,1736106.0,599.69,,,
150808,202302,2973,1783688.0,599.96,,,
150810,202302,12727,6697039.0,526.21,,,
150812,202302,5707,3468037.0,607.68,,,
150815,202302,8058,4864877.0,603.73,,,
150820,202302,11715,7000266.0,597.55,,,
150830,202302,12693,7572578.0,596.59,,,
150835,202302,2838,1623261.0,571.97,,,
150840,202302,5771,3489438.0,604.65,,,
160005,202302,1166,718028.0,615.8,,,
160010,202302,2223,1245990.0,560.5,,,
160015,202302,3863,2375396.0,614.91,,,
160020,202302,2076,1246720.0,600.54,,,
160021,202302,1018,649089.0,637.61,,,
160023,202302,1072,643065.0,599.87,,,
160025,202302,2063,1217728.0,590.27,,,
160027,202302,9948,5964677.0,599.59,,,
160030,202302,59243,3.5432858E7,598.09,,,
160040,202302,5623,3298536.0,586.61,,,
160050,202302,3927,2346708.0,597.58,,,
160053,202302,3799,2336500.0,615.03,,,
160055,202302,1624,932762.0,574.36,,,
160060,202302,24151,1.4392212E7,595.93,,,
160070,202302,2533,1462818.0,577.5,,,
160080,202302,3079,1787582.0,580.57,,,
170025,202302,233,141374.0,606.76,,,
170030,202302,533,320194.0,600.74,,,
170035,202302,803,489542.0,609.64,,,
170040,202302,1099,670341.0,609.96,,,
170070,202302,1009,610011.0,604.57,,,
170100,202302,1570,949552.0,604.81,,,
170105,202302,266,160510.0,603.42,,,
170110,202302,582,359147.0,617.09,,,
170130,202302,851,514903.0,605.06,,,
170190,202302,979,579933.0,592.37,,,
170200,202302,816,490506.0,601.11,,,
170210,202302,11170,6722018.0,601.79,,,
170215,202302,887,504642.0,568.93,,,
170220,202302,3143,1776280.0,565.15,,,
170230,202302,554,332781.0,600.69,,,
170240,202302,2075,1273902.0,613.93,,,
170255,202302,1945,1165294.0,599.12,,,
170270,202302,407,244592.0,600.96,,,
170290,202302,2394,1463301.0,611.24,,,
170300,202302,1571,933359.0,594.12,,,
170305,202302,377,227486.0,603.41,,,
170307,202302,727,432457.0,594.85,,,
170310,202302,759,457025.0,602.14,,,
170320,202302,591,358925.0,607.32,,,
170330,202302,846,528749.0,625.0,,,
170360,202302,342,207938.0,608.01,,,
170370,202302,649,390882.0,602.28,,,
170380,202302,1016,608660.0,599.07,,,
170382,202302,359,221274.0,616.36,,,
170384,202302,1111,677756.0,610.04,,,
170386,202302,314,189951.0,604.94,,,
170388,202302,384,233560.0,608.23,,,
170389,202302,491,281100.0,572.51,,,
170390,202302,1267,764949.0,603.75,,,
170410,202302,356,219357.0,616.17,,,
170460,202302,259,156764.0,605.27,,,
170510,202302,507,312432.0,616.24,,,
170550,202302,3286,1972978.0,600.42,,,
170555,202302,711,428846.0,603.16,,,
170560,202302,540,333639.0,617.85,,,
170600,202302,760,451749.0,594.41,,,
170610,202302,989,600520.0,607.2,,,
170625,202302,158,95913.0,607.04,,,
170650,202302,1026,623835.0,608.03,,,
170700,202302,1876,1135998.0,605.54,,,
170710,202302,1055,639804.0,606.45,,,
170720,202302,1214,733432.0,604.14,,,
170730,202302,627,380910.0,607.51,,,
170740,202302,1602,849961.0,530.56,,,
170755,202302,413,250054.0,605.46,,,
170765,202302,555,336112.0,605.61,,,
170770,202302,1308,729384.0,557.63,,,
170820,202302,2199,1337700.0,608.32,,,
170825,202302,708,429482.0,606.61,,,
170830,202302,818,490418.0,599.53,,,
170900,202302,2345,1463520.0,624.1,,,
170930,202302,1920,1156268.0,602.22,,,
170950,202302,3679,2212558.0,601.4,,,
170980,202302,241,137121.0,568.97,,,
171050,202302,1317,819818.0,622.49,,,
171070,202302,833,488957.0,586.98,,,
171090,202302,517,287361.0,555.82,,,
171110,202302,257,154795.0,602.32,,,
171150,202302,435,264211.0,607.38,,,
171180,202302,274,164792.0,601.43,,,
171190,202302,1426,877737.0,615.52,,,
171195,202302,515,323295.0,627.76,,,
171200,202302,275,163903.0,596.01,,,
171215,202302,220,133575.0,607.16,,,
171240,202302,471,302590.0,642.44,,,
171245,202302,440,268562.0,610.37,,,
171250,202302,408,249177.0,610.73,,,
171270,202302,264,161313.0,611.03,,,
171280,202302,574,337492.0,587.97,,,
171320,202302,1812,1091106.0,602.16,,,
171330,202302,1568,944109.0,602.11,,,
171360,202302,872,536237.0,614.95,,,
171370,202302,405,245398.0,605.92,,,
171380,202302,942,571699.0,606.9,,,
171395,202302,530,323682.0,610.72,,,
171420,202302,1107,670073.0,605.31,,,
171430,202302,680,413148.0,607.57,,,
171488,202302,1456,881457.0,605.4,,,
171500,202302,471,285344.0,605.83,,,
171510,202302,607,387417.0,638.25,,,
171515,202302,276,168058.0,608.91,,,
171525,202302,419,253329.0,604.6,,,
171550,202302,182,111144.0,610.68,,,
171570,202302,634,374860.0,591.26,,,
171575,202302,761,456620.0,600.03,,,
171610,202302,2258,1361275.0,602.87,,,
171620,202302,2424,1488558.0,614.09,,,
171630,202302,686,383791.0,559.46,,,
171650,202302,1017,609213.0,599.03,,,
171660,202302,1247,750642.0,601.96,,,
171665,202302,667,402007.0,602.71,,,
171670,202302,885,533685.0,603.03,,,
171700,202302,624,382577.0,613.1,,,
171720,202302,476,288093.0,605.24,,,
171750,202302,556,341794.0,614.74,,,
171780,202302,776,468943.0,604.31,,,
171790,202302,811,498702.0,614.92,,,
171800,202302,394,240041.0,609.24,,,
171820,202302,4753,2862851.0,602.33,,,
171830,202302,1009,556647.0,551.68,,,
171840,202302,366,221365.0,604.82,,,
171845,202302,433,263361.0,608.22,,,
171850,202302,766,478789.0,625.05,,,
171855,202302,636,383399.0,602.83,,,
171865,202302,314,192120.0,611.85,,,
171870,202302,365,220933.0,605.3,,,
171875,202302,1061,657353.0,619.56,,,
171880,202302,1151,563897.0,489.92,,,
171884,202302,611,372021.0,608.87,,,
171886,202302,622,367691.0,591.14,,,
171888,202302,306,186832.0,610.56,,,
171889,202302,157,95084.0,605.63,,,
171890,202302,725,444414.0,612.98,,,
171900,202302,274,169295.0,617.86,,,
172000,202302,269,161600.0,600.74,,,
172010,202302,839,517295.0,616.56,,,
172015,202302,196,122982.0,627.46,,,
172020,202302,2223,1315752.0,591.88,,,
172025,202302,405,243285.0,600.7,,,
172030,202302,874,461343.0,527.85,,,
172049,202302,571,339851.0,595.19,,,
172065,202302,895,545255.0,609.22,,,
172080,202302,1548,934687.0,603.8,,,
172085,202302,158,95187.0,602.45,,,
172090,202302,2952,1800929.0,610.07,,,
172093,202302,225,140005.0,622.24,,,
172097,202302,259,156486.0,604.19,,,
172100,202302,22737,1.3739749E7,604.29,,,
172110,202302,1332,871413.0,654.21,,,
172120,202302,3095,1910761.0,617.37,,,
172125,202302,212,133829.0,631.27,,,
172130,202302,265,158202.0,596.99,,,
172208,202302,1661,1003501.0,604.15,,,
172210,202302,1610,955956.0,593.76,,,
210005,202302,10949,6569148.0,599.98,,,
210010,202302,1984,1188714.0,599.15,,,
210015,202302,2598,1551410.0,597.16,,,
210020,202302,7317,4369327.0,597.15,,,
210030,202302,4012,2431888.0,606.15,,,
210040,202302,1948,1139176.0,584.79,,,
210043,202302,4599,2486521.0,540.67,,,
210047,202302,5376,3209465.0,597.0,,,
210050,202302,1836,1127239.0,613.96,,,
210055,202302,1853,970756.0,523.88,,,
210060,202302,5938,3662382.0,616.77,,,
210070,202302,6631,2599609.0,392.04,,,
210080,202302,4331,2585931.0,597.07,,,
210083,202302,5489,3263842.0,594.62,,,
210087,202302,2231,867102.0,388.66,,,
210090,202302,8401,4351026.0,517.92,,,
210095,202302,5480,3301684.0,602.5,,,
210100,202302,4882,2240469.0,458.92,,,
210110,202302,2806,1239472.0,441.72,,,
210120,202302,21734,1.2237707E7,563.07,,,
210125,202302,3450,1383391.0,400.98,,,
210130,202302,3411,2017545.0,591.48,,,
210135,202302,1516,750335.0,494.94,,,
210140,202302,13398,8102299.0,604.74,,,
210150,202302,4002,2390978.0,597.45,,,
210160,202302,16853,1.009764E7,599.16,,,
210170,202302,14966,8973989.0,599.63,,,
210173,202302,2075,772982.0,372.52,,,
210177,202302,2552,1099589.0,430.87,,,
210180,202302,1314,802134.0,610.45,,,
210190,202302,4590,2415945.0,526.35,,,
210193,202302,1083,652616.0,602.6,,,
210197,202302,1646,771861.0,468.93,,,
210200,202302,6691,3444733.0,514.83,,,
210203,202302,5608,3261967.0,581.66,,,
210207,202302,2933,1691729.0,576.79,,,
210210,202302,6831,4119256.0,603.02,,,
210215,202302,2077,1270097.0,611.51,,,
210220,202302,6772,4029211.0,594.98,,,
